id,name,email,country,state,donor_type
1,Alice Johnson,alice@example.com,USA,Oregon,Individual
2,Bob Smith,bob@example.com,USA,Washington,Grant
3,Northwest Corp,contact@nwcorp.org,USA,,Corporate
4,Thabo Ndlovu,thabo@example.co.za,South Africa,Gauteng,Individual
5,Sarah O’Connor,sarah@example.co.uk,U.K.,England,Individual
6,Bjorn Sigurdsson,bjorn@example.is,Iceland,,Individual
7,María Perez,maria@example.pe,Peru,Lima,Individual
8,Suppliers Inc,donations@si.com,USA,New York,Corporate
9,John Kim,john.kim@example.com,South Korea,Seoul,Individual
10,Maple Foundation,info@maplefoundation.ca,Canada,Ontario,Grant
11,Chen Wei,chen.wei@example.cn,China,Beijing,Individual
12,Ubuntu Org,support@ubuntu.org,South Africa,Western Cape,Corporate
13,Emily Brown,emily.brown@example.com,USA,California,Individual
14,Carlos Mendes,carlos.m@example.br,Brazil,São Paulo,Individual
15,Tokyo Vision Fund,donate@tvf.jp,Japan,Tokyo,Grant
16,James Wright,jw@example.com,U.K.,Scotland,Individual
17,Helga Schmidt,helga@example.de,Germany,Berlin,Individual
18,Visionaries Ltd,contact@visionaries.com,Australia,Victoria,Corporate
19,Fatima Noor,fatima.noor@example.ae,U.A.E.,Dubai,Individual
20,GreenSight Trust,hello@greensight.org,Ireland,,Grant
